,full_name,rating,jersey,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak
400,Jarred Vanderbilt,70,#0,F,04/03/99,6-9 / 2.06,214 lbs. / 97.1 kg.,1416852,USA,2018,2,41
401,Jemerrio Jones,70,#0,F,04/09/95,6-5 / 1.96,201 lbs. / 91.2 kg.,195077,USA,2018,Undrafted,Undrafted
402,Jordan Poole,70,#3,G,06/19/99,6-4 / 1.93,194 lbs. / 88 kg.,1964760,USA,2019,1,28
403,Talen Horton-Tucker,70,#5,G,11/20/00,6-4 / 1.93,234 lbs. / 106.1 kg.,898310,USA,2019,2,46
404,Yante Maten,70,#0,F-C,08/14/96,6-8 / 2.03,240 lbs. / 108.9 kg.,100000,USA,2018,Undrafted,Undrafted
405,Thanasis Antetokounmpo,70,#43,F,07/18/92,6-6 / 1.98,215 lbs. / 97.5 kg.,1445697,Greece,2014,2,51
406,Naz Reid,70,#11,C,08/26/99,6-9 / 2.06,249 lbs. / 112.9 kg.,898310,USA,2019,Undrafted,Undrafted
407,Ignas Brazdeikis,70,#17,F,01/08/99,6-6 / 1.98,216 lbs. / 98 kg.,898310,Canada,2019,2,47
408,Deonte Burton,70,#30,G,06/26/91,6-4 / 1.93,240 lbs. / 108.9 kg.,1416852,USA,2014,Undrafted,Undrafted
409,Justin James,70,#10,G,01/24/97,6-7 / 2.01,190 lbs. / 86.2 kg.,898310,USA,2019,2,40
410,Henry Ellenson,69,#0,F-C,01/13/97,6-10 / 2.08,242 lbs. / 109.8 kg.,79568,USA,2016,1,18
411,Devonte Graham,69,#0,G,02/22/95,6-1 / 1.85,185 lbs. / 83.9 kg.,1416852,USA,2018,2,34
412,Amile Jefferson,69,#0,F-C,05/07/93,6-9 / 2.06,224 lbs. / 101.6 kg.,1529007,USA,2017,Undrafted,Undrafted
413,Khyri Thomas,69,#13,G,05/08/96,6-3 / 1.91,210 lbs. / 95.3 kg.,1416852,USA,2018,2,38
414,Theo Pinson,69,#0,G,11/05/95,6-5 / 1.96,220 lbs. / 99.8 kg.,1445697,USA,2018,Undrafted,Undrafted
415,Gary Clark,69,#0,F,11/16/94,6-6 / 1.98,225 lbs. / 102.1 kg.,1427191,USA,2018,Undrafted,Undrafted
416,Terance Mann,69,#14,G,10/18/96,6-5 / 1.96,215 lbs. / 97.5 kg.,1000000,USA,2019,2,48
417,Cam Reynolds,69,#13,G,02/07/95,6-7 / 2.01,225 lbs. / 102.1 kg.,79568,USA,2018,Undrafted,Undrafted
418,Tyrone Wallace,69,#0,G-F,06/10/94,6-5 / 1.96,200 lbs. / 90.7 kg.,502491,USA,2016,2,60
419,Miye Oni,69,#24,F,08/04/97,6-5 / 1.96,210 lbs. / 95.3 kg.,898310,USA,2019,2,58
420,Malcolm Miller,69,#13,F,03/06/93,6-7 / 2.01,205 lbs. / 93 kg.,1588231,USA,2015,Undrafted,Undrafted
421,Isaac Bonga,68,#17,G,11/08/99,6-8 / 2.03,200 lbs. / 90.7 kg.,1416852,Germany,2018,2,39
422,Isaiah Hartenstein,68,#0,F-C,05/05/98,7-0 / 2.13,250 lbs. / 113.4 kg.,1416852,Germany,2017,2,43
423,Jordan McRae,68,#0,G,03/28/91,6-5 / 1.96,179 lbs. / 81.2 kg.,1254933,USA,2014,2,58
424,Brandon Goodwin,68,#0,G,10/02/95,6-0 / 1.83,180 lbs. / 81.6 kg.,522738,USA,2018,Undrafted,Undrafted
425,Michael Frazier,68,#21,G,03/08/94,6-3 / 1.91,200 lbs. / 90.7 kg.,79568,USA,2015,2,60
426,Kostas Antetokounmpo,68,#37,F,11/20/97,6-10 / 2.08,200 lbs. / 90.7 kg.,79568,Greece,2018,Undrafted,Undrafted
427,Jalen Lecque,68,#0,G,06/13/00,6-3 / 1.91,190 lbs. / 86.2 kg.,898310,USA,2019,Undrafted,Undrafted
428,Duncan Robinson,67,#55,F,04/22/94,6-7 / 2.01,215 lbs. / 97.5 kg.,1416852,USA,2018,Undrafted,Undrafted
