,full_name,rating,jersey,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak
295,Mike Muscala,73,#33,F-C,07/01/91,6-10 / 2.08,230 lbs. / 104.3 kg.,2028594,USA,2013,2,44
296,Frank Ntilikina,73,#11,G,07/28/98,6-4 / 1.93,190 lbs. / 86.2 kg.,4855800,France,2017,1,8
297,David Nwaba,73,#0,G,01/14/93,6-5 / 1.96,210 lbs. / 95.3 kg.,2581965,USA,2016,Undrafted,Undrafted
298,Royce O'Neale,73,#23,F,06/05/93,6-4 / 1.93,226 lbs. / 102.5 kg.,1618520,USA,2015,Undrafted,Undrafted
299,Semi Ojeleye,73,#37,F,12/05/94,6-6 / 1.98,235 lbs. / 106.6 kg.,1618520,USA,2017,2,37
300,Josh Okogie,73,#20,G,09/01/98,6-4 / 1.93,213 lbs. / 96.6 kg.,2530680,Nigeria,2018,1,20
301,Jonathon Simmons,73,#0,G-F,09/14/89,6-6 / 1.98,195 lbs. / 88.5 kg.,1000000,USA,2012,Undrafted,Undrafted
302,Ishmael Smith,73,#14,G,07/05/88,6-0 / 1.83,175 lbs. / 79.4 kg.,6000000,USA,2010,Undrafted,Undrafted
303,Tony Snell,73,#17,F,11/10/91,6-6 / 1.98,198 lbs. / 89.8 kg.,11392857,USA,2013,1,20
304,Omari Spellman,73,#0,F,07/21/97,6-8 / 2.03,245 lbs. / 111.1 kg.,1897800,USA,2018,1,30
305,Garrett Temple,73,#17,G-F,05/08/86,6-5 / 1.96,195 lbs. / 88.5 kg.,4767000,USA,2009,Undrafted,Undrafted
306,Evan Turner,73,#1,G-F,10/27/88,6-6 / 1.98,205 lbs. / 93 kg.,18606556,USA,2010,1,2
